Name,Id,Latitude,Longitude,Year,Spec,Type,Status,Condition,Auto_id
2021-17,194951,51.20733,95.06828,2021, ,box,Empty,worth,28
2021-18,194952,51.22476,95.07981,2021, ,box,Empty,worth,29
2021-19,194950,51.22154,95.10539,2021, ,box,Empty,worth,30
2021-2,194943,51.20459,94.57015,2021, ,box,Empty,worth,31
2021-20,194953,51.20596,95.11069,2021, ,box,Empty,worth,32
2021-21,194945,51.2387,95.04986,2021, ,box,Empty,worth,33
2021-22,194954,51.26209,95.06535,2021, ,box,Empty,worth,34
2021-23,194961,51.2836,95.05836,2021, ,box,Empty,worth,35
2021-24,194955,51.19733,95.0834,2021, ,box,Empty,worth,36
2021-25,194946,51.2465,94.97841,2021,Falco tinnunculus,box,Occup,worth,37
2021-26,194940,51.26788,94.96781,2021,Falco tinnunculus,box,Occup,worth,38
2021-27,194941,51.21686,95.00265,2021,Falco tinnunculus,box,Occup,worth,39
2021-29,194947,51.24202,94.91016,2021,Falco tinnunculus,box,Occup,worth,40
2021-3,194944,51.21471,94.54017,2021,Falco tinnunculus,box,Occup,worth,41
2021-30,194948,51.22341,94.88954,2021,Falco tinnunculus,box,Occup,worth,42
2021-31,194970,51.46637,95.03474,2021,Falco tinnunculus,box,Occup,worth,43
2021-32,194971,51.45683,94.91902,2021,Falco tinnunculus,box,Occup,worth,44
2021-33,194972,51.43713,94.90925,2021,Falco tinnunculus,box,Occup,worth,45
2021-34,194973,51.43296,94.86921,2021,?,box,?,?,46
2021-35,194967,51.38433,94.9718,2021,Falco tinnunculus,box,Occup,worth,47
2021-36,194968,51.375,94.98701,2021,Buteo hemilasius,box,Occup,worth,48
2021-37,194969,51.37168,94.96432,2021,Falco tinnunculus,box,Occup,worth,49
2021-38,194976,51.08321,95.06722,2021, ,box,Empty,worth,50
2021-39,194977,51.0788,95.03848,2021,?,box,?,?,51
2021-4,194986,51.363505,94.900256,2021,Falco tinnunculus,box,Occup,worth,52
2021-40,194978,51.08153,95.01078,2021,?,box,?,?,53
2021-41,194979,51.07601,94.98283,2021, ,box,Empty,worth,54
2021-42,194980,51.07674,94.94561,2021, ,box,Empty,worth,55
2021-43,194981,51.0763,94.91475,2021,Falco tinnunculus,box,Occup,worth,56
2021-46,194974,51.4919,95.02229,2021, ,box,Empty,worth,57
2021-47,194975,51.48386,95.05075,2021,Falco tinnunculus,box,Occup,worth,58
2021-5,194938,51.3897,94.92198,2021,Falco tinnunculus,box,Occup,worth,59
2021-50,194949,51.19899,94.84834,2021,Falco tinnunculus,box,Occup,worth,60
2021-6,194939,51.35562,94.96607,2021,Falco tinnunculus,box,Occup,worth,61
2021-7,194962,51.32388,95.04617,2021, ,box,Empty,worth,62
2021-8,194957,51.30368,95.06954,2021, ,box,Empty,worth,63
2021-9,194963,51.33938,95.01865,2021,Falco tinnunculus,box,Occup,worth,64
A11,A11,51.39122128,94.62447703,2006,Milvus migrans ,platf-tree,Occup,destr,65
A15,A15,51.53801858,94.65009749,2006, ,platf-tree,Empty,destr,66
A22,A22,51.50481284,94.69648361,2006, ,platf-tree,Empty,destr,67
A23,A23,51.51027918,94.70219135,2006, ,platf-tree,Empty,destr,68
A31,A31,51.4008826,94.67905998,2006,Milvus migrans ,platf-tree,Occup,destr,69
A34,A34,51.58629298,94.51307416,2006, ,platf-tree,Empty,worth,70
A43B,176287,51.46651,94.89461,2018,Falco cherrug,platf-tree,Occup,worth,71
A44,A44,51.4211601,94.86061335,2006,Milvus migrans ,platf-tree,Occup,destr,72
A49,A49,51.40442312,94.84793723,2006, ,platf-tree,Empty,destr,73
A50,A50,51.4143312,94.8146081,2006, ,platf-tree,Empty,destr,74
A54,A54,51.39419854,94.94434118,2006, ,platf-tree,Empty,destr,75
A55,A55,51.39837742,94.96210814,2006, ,platf-tree,Empty,destr,76
A57,A57,51.38329804,94.94772613,2006, ,platf-tree,Empty,destr,77
A59-MK,A59-MK,51.36889,94.90661,2006,Buteo hemilasius,platf-tree,Occup,destr,78
A61,A61,51.38015449,94.89853978,2006, ,platf-tree,Empty,destr,79
A64,A64,51.44421101,94.75235403,2006, ,platf-tree,Empty,destr,80
A65,A65,51.43531144,94.7288686,2006, ,platf-tree,Empty,destr,81
BH53,BH53,51.52455,94.65341,2006,Buteo hemilasius,platf-tree,Occup,destr,82
BH54,BH54,51.50383,94.65905,2006,Buteo hemilasius,platf-tree,Occup,destr,83
BH-A38,BH-A38,51.52304,94.73221,2006,Buteo hemilasius,platf-tree,Occup,destr,84
BH-A39,BH-A39,51.59837,94.529,2006,Buteo hemilasius,platf-tree,Empty,destr,85
BH-A47,BH-A47,51.37468,94.93735,2006,Buteo hemilasius,platf-tree,Occup,destr,86
BH-RT122(TUV-7),TUV-7,51.54360822,94.61121988,2011,Buteo hemilasius,platf-pole,Occup,worth,87
BH-RT288-3 (TUV-51),TUV-51,51.37153395,94.7119204,2011,Buteo hemilasius,platf-pole,Occup,worth,88
BH-RT292-2 (TUV-35),TUV-35,51.39069255,94.83324593,2011,Buteo hemilasius,platf-pole,Occup,worth,89
BH-RT293-3(A51),A51,51.37125,94.84501,2006,Buteo hemilasius,platf-tree,Occup,destr,90
BH-RT354-2(A20),A20,51.44907,94.68466,2006,Buteo hemilasius,platf-tree,Occup,destr,91
